Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.103128901563,8221,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
17542.03608327932,9135,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16218.847861937687,13196,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16336.913140048573,16342,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
16339.170323925458,19832,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15709.052821083313,22236,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15230.003389847883,22576,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15048.042184116031,22964,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
14862.093869597764,24021,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15295.018266878806,27325,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
21335.852484891035,10237,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
20538.08751022537,15066,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
20512.094091238854,16633,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19924.159052404004,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19774.24906606605,23359,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19344.165537356883,23765,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19105.130124415875,24008,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
18543.427045365264,26034,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
17808.19899602062,32896,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
17968.838278264633,34665,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
22358.877678117064,8970,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0
23785.92252637716,10577,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
22926.0903712553,14363,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
