station_name,latitute,longitude
0,12TH,798,702
1,19TH,798,655
2,MCAR,802,607
3,16TH,375,948
4,CIVC,397,915
5,POWL,419,886
6,MONT,438,860
7,EMBR,457,834
8,24TH,358,988
9,GLEN,339,1023
10,BALB,318,1052
11,DALY,288,1100
12,COLM,301,1154
13,SSAN,342,1200
14,SBRN,380,1270
15,SFIA,485,1321
16,MLBR,495,1435
17,WOAK,679,793
18,LAKE,846,871
19,FTVL,903,928
20,COLS,959,983
21,SANL,1025,1045
22,BAYF,1075,1105
23,HAYW,1196,1245
24,SHAY,1280,1335
25,UCTY,1360,1420
26,FRMT,1455,1525
27,WARM,1505,1635
28,MLPT,1525,1765
29,BERY,1535,1895
30,ROCK,886,542
31,ORIN,965,492
32,LAFY,1055,444
33,WCRK,1135,394
34,PHIL,1225,337
35,CONC,1295,294
36,NCON,1375,244
37,PITT,1535,182
38,PCTR,1695,193
39,ANTC,1855,187
40,CAST,1265,1125
41,WDUB,1505,1105
42,DUBL,1655,1085
43,OAKL,884,1065
44,ASHB,765,537
45,DBRK,735,492
46,NBRK,706,450
47,PLZA,673,407
48,DELN,644,356
49,RICH,611,310
